# NinjaLinking Calendar
# Site cible,cemarenov.fr
# Niche,travaux rénovation énergie maison jardin construction
# Genere le,2026-04-20
# A:,0,B:,23,C:,98,D:,751,Total:,872

semaine,periode,priorite,domaine,url_forum,score,activite,inscription,notes
Semaine 1,27/04/2026 - 03/05/2026,B,aquajardin.net,https://www.aquajardin.net/forum/viewtopic.php?t=8152,14,active,Fermee,
Semaine 1,27/04/2026 - 03/05/2026,B,forumveranda.fr,https://www.forumveranda.fr/viewtopic.php?t=77,14,active,Fermee,
Semaine 1,27/04/2026 - 03/05/2026,B,jardinature.net,https://www.jardinature.net/forum/viewtopic.php?t=8719,14,active,Fermee,
Semaine 1,27/04/2026 - 03/05/2026,B,jardins-du-nord.fr,https://www.jardins-du-nord.fr/viewtopic.php?p=186206,14,active,Fermee,
Semaine 2,04/05/2026 - 10/05/2026,B,trafic-amenage.com,https://www.trafic-amenage.com/forum/viewtopic.php?t=6776,14,active,Fermee,
Semaine 2,04/05/2026 - 10/05/2026,B,arsun-concept.com,https://arsun-concept.com/forum/viewtopic.php?t=43,13,active,Fermee,
Semaine 2,04/05/2026 - 10/05/2026,B,aujardin.org,https://www.aujardin.org/,13,active,Fermee,
Semaine 2,04/05/2026 - 10/05/2026,B,bulle-immobiliere.org,http://bulle-immobiliere.org/forum/viewtopic.php?t=98619,13,active,Fermee,
Semaine 3,11/05/2026 - 17/05/2026,B,forum-automatisme.net,https://www.forum-automatisme.net/viewtopic.php?t=3806,13,active,Fermee,
Semaine 3,11/05/2026 - 17/05/2026,B,forum-bassin.com,https://www.forum-bassin.com/forum/viewtopic.php?t=8746,13,active,Fermee,
Semaine 3,11/05/2026 - 17/05/2026,B,immobilierloyer.com,https://www.immobilierloyer.com/forum/viewtopic.php?t=36,13,active,Fermee,
Semaine 3,11/05/2026 - 17/05/2026,B,livres-forums-construction.fr,https://www.livres-forums-construction.fr/forums/viewtopic.php?t=8024,13,active,Fermee,
Semaine 4,18/05/2026 - 24/05/2026,B,parlons-renovation.be,https://www.parlons-renovation.be/,13,active,Fermee,
Semaine 4,18/05/2026 - 24/05/2026,B,arrosoirs-secateurs.com,http://arrosoirs-secateurs.com/forum/viewtopic.php?t=3163,12,active,Fermee,
Semaine 4,18/05/2026 - 24/05/2026,B,pac-silence.fr,https://www.pac-silence.fr/forum/viewtopic.php?t=617,12,active,Non verifiee,Inscription non verifiee (SID phpBB - probablement ouverte) | Inscription non vérifiée
Semaine 4,18/05/2026 - 24/05/2026,B,allo-olivier.com,http://www.allo-olivier.com/Forums/viewtopic.php?id=7471,7,active,Fermee,
Semaine 5,25/05/2026 - 31/05/2026,B,bricolageonline.net,https://www.bricolageonline.net/forum/,7,active,Fermee,
Semaine 5,25/05/2026 - 31/05/2026,B,econologie.com,http://www.econologie.com/forums/viewtopic.php?t=641,7,semi_active,Fermee,
Semaine 5,25/05/2026 - 31/05/2026,B,volta-electricite.info,http://www.volta-electricite.info/forums-volta-electricite/viewtopic.php?t=351,6,active,Fermee,
Semaine 5,25/05/2026 - 31/05/2026,B,carnet-de-potager.fr,https://carnet-de-potager.fr/forum,5,dead,Non verifiee,Inscription non verifiee (SID phpBB - probablement ouverte) | Login requis — vérification manuelle
Semaine 6,01/06/2026 - 07/06/2026,B,forumbricolage.fr,https://www.forumbricolage.fr/,5,dead,Non verifiee,Inscription non verifiee (SID phpBB - probablement ouverte) | Login requis — vérification manuelle
Semaine 6,01/06/2026 - 07/06/2026,B,lesentreprisesdupaysage.fr,https://www.lesentreprisesdupaysage.fr/les-entreprises-du-paysage/inspirations-jardins/creation-de-jardin/les-styles-de-jardin/le-jardin-potager/,5,dead,Non verifiee,Inscription non verifiee (SID phpBB - probablement ouverte) | Login requis — vérification manuelle
Semaine 6,01/06/2026 - 07/06/2026,B,metal-connexion.fr,http://metal-connexion.fr/forum/petit-marteau-pilon-pour-les-demonstrations-de-forge-t3772.html,5,dead,Non verifiee,Inscription non verifiee (SID phpBB - probablement ouverte) | Login requis — vérification manuelle
