semaine,periode,priorite,domaine,url_forum,score,activite,inscription,message
Semaine 1,20/04/2026 - 26/04/2026,B,fortdissy.info,https://fortdissy.info/forum/viewtopic.php?t=11171,12,active,Fermee,
Semaine 1,20/04/2026 - 26/04/2026,B,lesptitesrenault.fr,https://www.bible.lesptitesrenault.fr/viewtopic.php?f=41&t=3542,12,active,Fermee,
Semaine 1,20/04/2026 - 26/04/2026,B,forum-hifi.fr,https://forum-hifi.fr/showthread.php?mode=linear&tid=16610&pid=490676,7,active,Fermee,
Semaine 1,20/04/2026 - 26/04/2026,B,forumcampingcar.fr,https://www.forumcampingcar.fr/viewtopic.php?t=974,13,active,Fermee,
Semaine 2,27/04/2026 - 03/05/2026,B,varadero125.fr,https://www.varadero125.fr/forums/viewtopic.php?t=29913,13,active,Fermee,
Semaine 2,27/04/2026 - 03/05/2026,B,amoureux203-403.com,https://www.amoureux203-403.com/forum/viewtopic.php?t=1351,13,active,Fermee,"C'est le grand classique des moteurs avec un bloc de remplacement ! Du coup, quand il n'y a plus la plaque ni les numéros d'origine, est-ce que le seul moyen d'être sûr à 100% de la cylindrée c'est de déculasser pour mesurer l'alésage ?"
Semaine 2,27/04/2026 - 03/05/2026,B,club-mercedes-passion.com,https://www.club-mercedes-passion.com/forum/viewtopic.php?f=1&t=22237,12,active,Fermee,
Semaine 2,27/04/2026 - 03/05/2026,B,forum-ulm-ela-lsa.net,https://forum-ulm-ela-lsa.net/viewtopic.php?t=9118,13,active,Fermee,
Semaine 3,04/05/2026 - 10/05/2026,B,504.org,http://www.504.org/forum/viewtopic.php?f=3&t=23,12,active,Fermee,
Semaine 3,04/05/2026 - 10/05/2026,B,gs500.pl,https://forum.gs500.pl/printview.php?t=1670&start=0,7,active,Fermee,
